# KaTeX comparison revision and MIT attribution: /THIRD_PARTY_NOTICES.md
# id	source	oracle	invariant
ordinary-sub-mlist	a{+}b	TeX ordinary sub-mlist noad; KaTeX ord group	group is one Ord atom and edge Bin becomes Ord internally
tight-spacing	x_{k-1}	KaTeX spacingData tight table	binary glue is suppressed in ScriptCramped
cramped-superscript	\frac{a}{x^{y^z}}	KaTeX Style.sup [S,Sc,S,Sc,SS,SSc,SS,SSc]	nested denominator superscripts remain ScriptScriptCramped
script-binomial	\frac{a}{\binom{n}{k}}	LaTeX2e XeTeX genfrac fixed style targets	ScriptCramped uses 1.45 script em target with text-style delimiter selection
math-kern	x_1^2	OpenType MATH MathKern two-height algorithm	parsed corner kerns participate in final script x
operator-auto	\sum_i^n	TeX make_op displaylimits; OpenType MATH n-ary variants	Auto uses stacked limits only in display style and the operator follows the math axis
operator-integral	\int_i^n	plain.tex integral nolimits; TeX op noad	integrals default to side scripts while an explicit limits modifier overrides
radical-noad	\sqrt[3]{\frac{x}{y}}	TeX make_radical; LaTeX2e root; OpenType MATH radicals	radicand is cramped, degree is scriptscript, and named MATH radical geometry is used
content-delimiter	\left\langle a\middle|\frac{b}{c}\right\rangle	Tectonic 0.17.0 XeTeX make_left_right box trace	all left middle right delimiters share the completed clean-box TeX target and remain unbreakable
tall-binomial-fixed	\binom{\frac{\frac{\frac{\frac{\frac{\frac{\frac{\frac{\frac{\frac{a}{b}}{b}}{b}}{b}}{b}}{b}}{b}}{b}}{b}}{b}}{k}	Tectonic 0.17.0 XeTeX box trace	tall content does not alter the fixed text-style binomial delimiter target
